Time,EMG1,EMG2,IO,EMG3,EMG4
360.0000,-763.0000,-445.0000,-14.0000,-206.5000,-1942.5000
361.0000,-790.5000,-442.5000,-13.5000,-214.0000,-1984.5000
362.0000,-826.0000,-450.0000,-13.0000,-241.0000,-2036.0000
363.0000,-831.5000,-453.5000,-13.0000,-261.5000,-2071.0000
364.0000,-803.5000,-443.5000,-13.0000,-257.5000,-2068.5000
365.0000,-770.0000,-432.0000,-13.0000,-251.0000,-2050.0000
366.0000,-734.5000,-419.0000,-13.0000,-242.0000,-2016.5000
367.0000,-715.0000,-415.0000,-13.0000,-239.5000,-1983.0000
368.0000,-708.5000,-418.5000,-12.5000,-249.0000,-1952.0000
369.0000,-686.5000,-402.0000,-12.5000,-248.5000,-1918.5000
370.0000,-656.5000,-372.0000,-12.0000,-236.0000,-1879.0000
371.0000,-625.5000,-337.5000,-12.0000,-218.5000,-1844.0000
372.0000,-592.5000,-299.5000,-11.5000,-201.0000,-1810.5000
373.0000,-577.0000,-272.0000,-11.5000,-187.0000,-1777.5000
374.0000,-572.0000,-248.5000,-11.5000,-174.0000,-1737.5000
375.0000,-575.5000,-235.0000,-11.5000,-164.5000,-1704.5000
376.0000,-586.5000,-225.5000,-11.5000,-158.0000,-1668.5000
377.0000,-603.0000,-213.5000,-11.5000,-152.5000,-1649.0000
378.0000,-623.5000,-198.0000,-11.5000,-147.5000,-1642.0000
379.0000,-636.0000,-179.5000,-11.5000,-139.5000,-1631.0000
380.0000,-644.0000,-163.5000,-11.5000,-123.5000,-1609.0000
381.0000,-647.0000,-159.5000,-10.5000,-121.5000,-1609.5000
382.0000,-649.5000,-160.0000,-10.0000,-130.5000,-1635.5000
383.0000,-646.0000,-154.5000,-9.0000,-132.5000,-1648.5000
384.0000,-640.0000,-144.5000,-7.5000,-125.5000,-1650.5000
385.0000,-624.0000,-130.5000,-6.5000,-123.0000,-1636.5000
386.0000,-605.0000,-115.5000,-5.5000,-126.0000,-1609.5000
387.0000,-587.5000,-108.0000,-4.5000,-122.0000,-1570.0000
388.0000,-573.5000,-104.0000,-3.5000,-112.0000,-1514.0000
389.0000,-570.5000,-108.0000,-2.5000,-105.0000,-1463.5000
390.0000,-578.0000,-112.0000,-1.5000,-97.0000,-1410.5000
391.0000,-606.5000,-110.5000,-1.0000,-84.5000,-1367.0000
392.0000,-633.0000,-105.0000,-0.5000,-72.5000,-1326.5000
393.0000,-629.0000,-100.5000,0.0000,-67.0000,-1298.5000
394.0000,-612.0000,-98.5000,0.5000,-66.5000,-1274.5000
395.0000,-583.5000,-100.0000,1.0000,-60.0000,-1253.0000
396.0000,-565.0000,-105.5000,1.5000,-48.5000,-1228.5000
397.0000,-574.0000,-112.5000,1.5000,-48.0000,-1214.0000
398.0000,-581.0000,-116.0000,2.0000,-52.5000,-1199.5000
